10;2.1708557167691993e-32;-1.3402244229738186e-32
20;1.3850487074636887e-30;-8.55089505932741e-31
30;1.5688518096626006e-29;-9.685643046726586e-30
40;8.737628553005596e-29;-5.394362476469736e-29
50;3.289802404584945e-28;-2.0310301793374442e-28
60;9.63897594601861e-28;-5.950829114349794e-28
70;2.3660266438197967e-27;-1.4607175191565217e-27
80;5.077225887609554e-27;-3.1345349941777137e-27
90;9.774881949369364e-27;-6.034734870385371e-27
100;1.7161386679865734e-26;-1.059495448409168e-26
110;2.7770121285009375e-26;-1.7144489247380005e-26
120;4.174061859953313e-26;-2.5769484342195448e-26
130;5.869508746365026e-26;-3.6236704527278997e-26
140;7.78951229418558e-26;-4.809028256850923e-26
150;9.88055167595826e-26;-6.099979974400766e-26
160;1.2201258604839125e-25;-7.532723545381933e-26
