x_part,Fx
-640.0,2.617579573227506e-30
-572.6315789473684,4.691679468289348e-30
-505.2631578947369,7.520857932260113e-30
-437.89473684210526,1.0794081391302655e-29
-370.5263157894737,1.3868590801585484e-29
-303.15789473684214,1.5892884260779655e-29
-235.78947368421052,1.605959665790338e-29
-168.42105263157896,1.389254090429393e-29
-101.0526315789474,9.448164810860463e-30
-33.68421052631584,3.350501484555749e-30
33.684210526315724,-3.3505014845557455e-30
101.05263157894728,-9.448164810855961e-30
168.42105263157896,-1.389254090429393e-29
235.78947368421052,-1.605959665790338e-29
303.1578947368421,-1.5892884260779776e-29
370.52631578947364,-1.3868590801584603e-29
437.8947368421052,-1.0794081391302989e-29
505.2631578947369,-7.520857932260113e-30
572.6315789473683,-4.6916794682889804e-30
640.0,-2.617579573227506e-30
