x_part,Fx
-640.0,1.6783624541844076e-30
-572.6315789473684,3.364653296318091e-30
-505.2631578947369,6.081556406427317e-30
-437.89473684210526,9.871227756241577e-30
-370.5263157894737,1.4301994159989106e-29
-303.15789473684214,1.8318665312973068e-29
-235.78947368421052,2.039237081530639e-29
-168.42105263157896,1.9060255097693367e-29
-101.0526315789474,1.3681680045715744e-29
-33.68421052631584,4.9882469640781124e-30
33.684210526315724,-4.9882469640781124e-30
101.05263157894728,-1.3681680045715744e-29
168.42105263157896,-1.9060255097693367e-29
235.78947368421052,-2.039237081530639e-29
303.1578947368421,-1.831866531297414e-29
370.52631578947364,-1.4301994159989106e-29
437.8947368421052,-9.87122775624158e-30
505.2631578947369,-6.081556406427317e-30
572.6315789473683,-3.364653296318009e-30
640.0,-1.6783624541844076e-30
